bedrooms,bathrooms,price,host_listings_count,availability_30,review_scores_rating,review_scores_location,calculated_host_listings_count_private_rooms,room_type_Hotel room,room_type_Private room,room_type_Shared room,host_is_superhost_t
1.0,1.0,135.0,2,12,4.89,4.79,0,False,False,False,True
1.0,1.0,176.0,1,22,4.93,4.86,1,False,True,False,True
1.0,2.0,98.0,4,9,4.78,4.3,4,False,True,False,True
1.0,2.0,95.0,4,21,4.77,4.48,4,False,True,False,True
1.0,2.0,88.0,4,14,4.75,4.41,4,False,True,False,True
1.0,2.0,94.0,4,0,4.76,4.46,4,False,True,False,True
1.0,1.0,94.0,1,26,4.84,4.85,1,False,True,False,True
1.0,1.0,111.0,3,8,4.96,4.97,3,False,True,False,True
2.0,1.0,243.0,1,6,4.89,4.88,0,False,False,False,True
1.0,1.0,111.0,1,30,4.38,4.75,0,False,False,False,False
1.0,1.0,170.0,4,0,4.72,4.91,1,False,False,False,False
1.0,1.0,130.0,4,0,4.51,4.88,1,False,False,False,False
4.0,3.5,417.0,2,0,4.89,4.8,1,False,False,False,True
2.0,1.0,500.0,3,12,4.45,4.98,1,False,False,False,True
1.0,1.0,219.0,9,0,5.0,5.0,5,False,True,False,False
1.0,1.5,570.0,2,10,4.98,4.94,1,False,True,False,True
0.0,1.0,149.0,1,0,4.96,5.0,0,False,False,False,False
0.0,1.0,210.0,17,0,4.88,4.96,0,False,False,False,True
2.0,1.0,165.0,1,5,4.93,4.95,1,False,True,False,True
1.0,1.0,52.0,1,0,4.84,4.78,1,False,True,False,False
4.0,2.0,385.0,5,0,4.4,4.74,0,False,False,False,False
1.0,1.0,113.0,1,0,4.89,4.83,0,False,False,False,False
1.0,1.0,70.0,1,0,4.72,4.57,1,False,True,False,True
1.0,1.0,128.0,1,0,4.64,4.72,0,False,False,False,False
1.0,1.0,219.0,9,0,4.89,4.89,5,False,True,False,False
1.0,1.0,95.0,2,8,4.81,4.93,1,False,True,False,True
1.0,1.0,306.0,1,10,4.88,4.9,0,False,False,False,True
4.0,2.0,225.0,2,0,4.64,4.64,0,False,False,False,False
1.0,1.0,181.0,1,0,4.91,4.82,0,False,False,False,True
1.0,1.0,73.0,4,8,4.81,4.93,0,False,False,False,True
2.0,1.5,399.0,1,30,4.88,4.77,0,False,False,False,False
2.0,1.0,235.0,2,7,4.51,4.89,1,False,False,False,True
1.0,1.0,185.0,1,0,4.86,4.77,0,False,False,False,False
0.0,1.0,100.0,5,13,4.24,4.61,0,False,False,False,False
1.0,1.0,101.0,3,23,4.93,4.95,3,False,True,False,True
2.0,1.0,290.0,1,10,4.91,4.65,0,False,False,False,True
1.0,1.0,154.0,7,0,4.96,4.96,3,False,False,False,True
3.0,2.5,260.0,5,0,5.0,5.0,0,False,False,False,True
1.0,1.0,177.0,1,4,4.93,4.91,0,False,False,False,True
1.0,1.5,124.0,6,1,4.83,4.86,4,False,True,False,True
3.0,2.0,735.0,1,23,4.97,4.97,0,False,False,False,False
1.0,1.0,205.0,1,6,4.86,4.91,0,False,False,False,True
1.0,1.0,99.0,1,0,4.67,4.71,0,False,False,False,True
4.0,3.5,516.0,2,10,4.91,4.96,0,False,False,False,True
1.0,1.0,170.0,1,15,4.89,4.94,0,False,False,False,True
1.0,1.0,104.0,2,20,4.78,4.73,1,False,True,False,True
1.0,1.0,180.0,1,30,4.69,4.98,0,False,False,False,False
2.0,1.0,158.0,1,6,4.83,4.86,0,False,False,False,False
1.0,1.0,108.0,3,0,5.0,5.0,2,False,False,False,False
1.0,1.5,189.0,2,0,4.94,4.74,1,False,True,False,False
1.0,1.0,140.0,1,7,4.59,4.86,0,False,False,False,False
3.0,2.0,302.0,1,30,5.0,4.68,0,False,False,False,False
2.0,1.5,377.0,2,4,4.94,4.95,1,False,False,False,True
2.0,1.0,250.0,1,16,4.6,4.4,0,False,False,False,False
1.0,1.0,180.0,3,0,4.9,4.94,2,False,True,False,False
0.0,1.0,73.0,3,0,4.53,4.77,0,False,False,False,False
1.0,0.5,91.0,1,20,4.87,4.81,1,False,True,False,True
0.0,1.0,95.0,23,0,4.25,5.0,0,False,False,False,False
1.0,1.0,138.0,3,14,4.92,4.86,1,False,True,False,True
3.0,2.0,758.0,6,0,4.78,4.54,0,False,False,False,True
1.0,1.0,122.0,1,11,4.99,4.97,1,False,True,False,True
1.0,1.0,350.0,2,28,4.86,4.84,1,False,True,False,False
0.0,1.0,135.0,1,8,4.88,4.86,0,False,False,False,True
4.0,2.0,188.0,3,0,4.69,4.55,0,False,False,False,False
1.0,1.0,119.0,1,0,4.79,4.58,0,False,False,False,False
